fir_narrative,district,police_station,crime_location_type,date_of_crime,time_of_crime,day_of_week,season,reported_by,victim_gender,victim_age,accused_gender,accused_age,weapon_used,vehicle_involved,num_accused,relationship,ipc_section,crime_category,FIR_Quality_Score,Completeness,Consistency,Relevance
The body of the victim was discovered at a market with signs of struggle.,Rajsamand,Station B,market,2025-03-28,10:36:53,Friday,Monsoon,Victim,Male,64,Other,47,bare hands,car,1,Neighbor,IPC 302 (Murder),Murder,0.87,0.0,0.0,0.8729285001754761
A gang of masked robbers looted a store at a park.,Banswara,Station B,park,2024-11-10,10:14:23,Sunday,Monsoon,Victim,Female,56,Other,62,gun,scooter,2,Neighbor,IPC 392 (Robbery),Robbery,1.06,0.0,0.0,1.0635316371917725
The victim was abducted and raped in a moving vehicle by unknown individuals.,Khairthal-Tijara,Station B,market,2024-09-27,18:57:53,Friday,Summer,Victim,Other,21,Female,69,gun,car,5,Relative,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
"An armed robbery took place at a bus stop, threatening the occupants.",Jaipur,Station B,bus stop,2025-02-26,13:45:24,Wednesday,Monsoon,Police,Other,19,Male,17,gun,car,1,Friend,IPC 392 (Robbery),Robbery,1.25,0.0,0.0,1.2470667958259583
A rape case was registered involving a Relative in an isolated bus stop.,Kota,Station B,bus stop,2025-02-04,23:42:24,Tuesday,Monsoon,Relative,Female,37,Female,26,bare hands,bike,5,Relative,IPC 376 (Rape),Rape,1.43,0.0,0.0,1.428774744272232
Jewelry and cash were stolen from a highway during daytime.,Churu,Station B,highway,2024-08-29,18:49:14,Thursday,Monsoon,Eyewitness,Female,68,Female,60,gun,scooter,4,Friend,IPC 379 (Theft),Theft,1.79,0.8,0.0,0.9935021102428436
The victim was robbed at gunpoint while returning home from work.,Rajsamand,Station C,residential area,2024-09-05,23:19:29,Thursday,Summer,Relative,Female,63,Male,51,bare hands,scooter,2,Friend,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
The victim was attacked from behind with a knife at a residential area.,Bharatpur,Station B,residential area,2024-09-27,12:42:30,Friday,Winter,Relative,Male,56,Female,70,knife,auto,2,Acquaintance,IPC 323 (Assault),Assault,0.96,0.0,0.0,0.9585805535316467
The accused used a gun to fatally wound the victim at their residence.,Churu,Station B,market,2025-04-04,15:45:40,Friday,Summer,Eyewitness,Male,43,Female,19,gun,car,3,Stranger,IPC 302 (Murder),Murder,1.08,0.0,0.0,1.083620309829712
Pickpocketing occurred in a crowded market.,Kotputli-Behror,Station B,market,2024-11-13,15:24:25,Wednesday,Monsoon,Eyewitness,Other,29,Female,69,bare hands,scooter,5,Stranger,IPC 379 (Theft),Theft,0.77,0.0,0.0,0.7711847126483917
The victim was robbed at gunpoint while returning home from work.,Jhunjhunu,Station A,highway,2024-09-04,11:22:32,Wednesday,Monsoon,Relative,Other,37,Male,70,knife,auto,3,Friend,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
The body of the victim was discovered at a residential area with signs of struggle.,Sirohi,Station A,residential area,2025-05-22,05:51:21,Thursday,Spring,Relative,Other,45,Other,48,stick,car,1,Relative,IPC 302 (Murder),Murder,0.97,0.0,0.0,0.9746900796890259
A local resident was found murdered in a highway under mysterious circumstances.,Chittorgarh,Station B,highway,2024-06-07,12:32:39,Friday,Spring,Relative,Female,32,Male,49,stick,auto,3,Neighbor,IPC 302 (Murder),Murder,0.91,0.0,0.0,0.9085416197776794
Pickpocketing occurred in a crowded residential area.,Jaisalmer,Station C,residential area,2024-09-13,11:02:24,Friday,Summer,Police,Male,63,Female,47,knife,auto,2,Acquaintance,IPC 379 (Theft),Theft,0.91,0.0,0.0,0.9088332653045654
An incident of rape was reported where the accused lured the victim to a residential area.,Jaisalmer,Station B,residential area,2024-08-25,15:24:25,Sunday,Summer,Eyewitness,Male,71,Female,30,stick,bike,3,Neighbor,IPC 376 (Rape),Rape,1.26,0.0,0.0,1.255059152841568
The body of the victim was discovered at a market with signs of struggle.,Rajsamand,Station A,market,2024-12-08,00:23:13,Sunday,Winter,Eyewitness,Male,42,Male,63,stick,bike,5,Relative,IPC 302 (Murder),Murder,0.87,0.0,0.0,0.8729285001754761
Police received a report of assault involving two individuals at a highway.,Salumbar,Station B,highway,2024-12-25,21:44:37,Wednesday,Monsoon,Relative,Other,72,Male,23,knife,scooter,2,Acquaintance,IPC 323 (Assault),Assault,1.0,0.0,0.0,1.0014241933822632
Eyewitnesses reported a fatal altercation involving a bare hands near the residential area.,Chittorgarh,Station A,residential area,2025-01-04,09:33:51,Saturday,Monsoon,Victim,Female,18,Other,59,bare hands,bike,4,Acquaintance,IPC 302 (Murder),Murder,1.03,0.0,0.0,1.029870092868805
The accused physically assaulted the victim using a gun at a school.,Jalore,Station C,school,2025-03-02,15:09:12,Sunday,Winter,Victim,Male,21,Male,37,gun,scooter,3,Stranger,IPC 323 (Assault),Assault,0.77,0.0,0.0,0.7719437777996063
The victim was attacked and killed using a bare hands at a bus stop.,Khairthal-Tijara,Station C,bus stop,2025-03-18,22:15:19,Tuesday,Winter,Relative,Other,42,Male,67,bare hands,car,4,Stranger,IPC 302 (Murder),Murder,1.12,0.0,0.0,1.1239883601665497
The victim was attacked and killed using a stick at a highway.,Sirohi,Station A,highway,2025-01-05,22:20:59,Sunday,Spring,Victim,Female,67,Male,41,stick,auto,4,Friend,IPC 302 (Murder),Murder,1.17,0.0,0.0,1.1689032912254333
A theft was reported where items were stolen from a park.,Karauli,Station B,park,2024-07-28,06:33:56,Sunday,Summer,Eyewitness,Male,26,Other,18,bare hands,car,2,Neighbor,IPC 379 (Theft),Theft,1.37,0.0,0.0,1.3701566755771637
"An armed robbery took place at a school, threatening the occupants.",Tonk,Station C,school,2024-07-26,06:40:28,Friday,Summer,Police,Female,51,Female,34,stick,bike,4,Acquaintance,IPC 392 (Robbery),Robbery,1.15,0.0,0.0,1.1535313725471497
Police received a report of assault involving two individuals at a residential area.,Khairthal-Tijara,Station C,residential area,2025-02-24,21:06:12,Monday,Winter,Eyewitness,Female,39,Other,69,stick,scooter,2,Neighbor,IPC 323 (Assault),Assault,1.18,0.0,0.0,1.1789687275886536
"An armed robbery took place at a school, threatening the occupants.",Deeg,Station B,school,2025-01-02,04:21:48,Thursday,Summer,Relative,Other,45,Male,51,bare hands,bike,5,Friend,IPC 392 (Robbery),Robbery,1.15,0.0,0.0,1.1535313725471497
"A heated argument turned violent at the residential area, injuring one person.",Jaipur,Station C,residential area,2024-12-02,01:16:15,Monday,Spring,Police,Male,43,Female,39,bare hands,bike,1,Acquaintance,IPC 323 (Assault),Assault,0.92,0.0,0.0,0.9247208833694458
"A heated argument turned violent at the park, injuring one person.",Bharatpur,Station A,park,2024-12-02,02:44:49,Monday,Summer,Relative,Male,36,Female,48,gun,auto,5,Relative,IPC 323 (Assault),Assault,0.78,0.0,0.0,0.7775819599628448
Eyewitnesses reported a fatal altercation involving a stick near the highway.,Dungarpur,Station A,highway,2024-10-10,21:09:27,Thursday,Monsoon,Police,Male,24,Other,15,stick,car,4,Neighbor,IPC 302 (Murder),Murder,0.9,0.0,0.0,0.9016122221946716
Jewelry and cash were stolen from a highway during daytime.,Dausa,Station A,highway,2024-08-21,02:10:08,Wednesday,Spring,Victim,Other,70,Other,54,knife,car,1,Stranger,IPC 379 (Theft),Theft,1.79,0.8,0.0,0.9935021102428436
The accused physically assaulted the victim using a gun at a bus stop.,Pratapgarh,Station B,bus stop,2024-06-18,22:26:50,Tuesday,Monsoon,Police,Other,55,Other,58,gun,auto,1,Relative,IPC 323 (Assault),Assault,0.75,0.0,0.0,0.7548441588878632
"A heated argument turned violent at the market, injuring one person.",Sikar,Station B,market,2024-06-03,20:58:10,Monday,Winter,Eyewitness,Male,10,Female,62,gun,auto,5,Relative,IPC 323 (Assault),Assault,0.64,0.0,0.0,0.63853320479393
The victim was abducted and raped in a moving vehicle by unknown individuals.,Sikar,Station C,bus stop,2024-12-12,17:01:05,Thursday,Summer,Relative,Female,54,Other,32,stick,scooter,1,Neighbor,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
An incident of rape was reported where the accused lured the victim to a residential area.,Ajmer,Station C,residential area,2024-11-21,13:17:15,Thursday,Summer,Victim,Other,15,Female,50,bare hands,car,5,Stranger,IPC 376 (Rape),Rape,1.26,0.0,0.0,1.255059152841568
The accused used a knife to fatally wound the victim at their residence.,Barmer,Station C,highway,2025-05-02,07:50:36,Friday,Monsoon,Police,Male,51,Other,47,knife,car,3,Acquaintance,IPC 302 (Murder),Murder,1.03,0.0,0.0,1.030611366033554
"A violent brawl broke out at a bus stop, leading to serious injuries.",Dausa,Station A,bus stop,2025-01-30,10:16:42,Thursday,Monsoon,Victim,Other,44,Male,18,gun,bike,2,Relative,IPC 323 (Assault),Assault,0.81,0.0,0.0,0.808120608329773
An incident of rape was reported where the accused lured the victim to a bus stop.,Sawai Madhopur,Station C,bus stop,2024-10-26,04:57:15,Saturday,Summer,Police,Male,75,Female,54,bare hands,scooter,4,Friend,IPC 376 (Rape),Rape,1.15,0.0,0.0,1.1478746831417084
The victim was attacked and killed using a gun at a school.,Jodhpur,Station B,school,2024-07-18,16:41:38,Thursday,Summer,Victim,Female,64,Male,60,gun,auto,4,Relative,IPC 302 (Murder),Murder,1.08,0.0,0.0,1.084540218114853
Police received a report of assault involving two individuals at a park.,Sikar,Station A,park,2025-05-28,17:44:43,Wednesday,Monsoon,Police,Other,80,Female,35,gun,car,1,Stranger,IPC 323 (Assault),Assault,1.02,0.0,0.0,1.0233026146888733
The accused used a gun to fatally wound the victim at their residence.,Bharatpur,Station A,market,2025-05-02,09:27:06,Friday,Spring,Victim,Male,69,Other,67,gun,scooter,5,Acquaintance,IPC 302 (Murder),Murder,1.08,0.0,0.0,1.083620309829712
The accused forcibly entered the victim’s home and committed the crime.,Kotputli-Behror,Station B,highway,2024-10-03,11:39:46,Thursday,Spring,Police,Other,64,Other,64,bare hands,auto,1,Relative,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
The victim reported being sexually assaulted by a Friend in a park.,Deeg,Station A,park,2025-01-09,02:01:29,Thursday,Spring,Police,Other,50,Other,31,knife,auto,4,Friend,IPC 376 (Rape),Rape,1.66,0.8,0.0,0.8631212711334229
Police received a report of assault involving two individuals at a bus stop.,Kotputli-Behror,Station B,bus stop,2025-05-21,07:22:06,Wednesday,Summer,Relative,Male,33,Other,15,gun,car,1,Relative,IPC 323 (Assault),Assault,0.92,0.0,0.0,0.9182856380939484
"A violent brawl broke out at a residential area, leading to serious injuries.",Alwar,Station C,residential area,2024-10-27,03:58:43,Sunday,Spring,Victim,Female,24,Female,46,gun,scooter,3,Acquaintance,IPC 323 (Assault),Assault,1.02,0.0,0.0,1.0218038856983185
"A heated argument turned violent at the market, injuring one person.",Karauli,Station A,market,2025-03-27,23:30:08,Thursday,Summer,Victim,Male,78,Female,59,bare hands,scooter,2,Friend,IPC 323 (Assault),Assault,0.64,0.0,0.0,0.63853320479393
Jewelry and cash were stolen from a park during daytime.,Nagaur,Station B,park,2024-08-08,18:08:03,Thursday,Summer,Victim,Male,24,Male,39,knife,scooter,5,Acquaintance,IPC 379 (Theft),Theft,1.81,0.8,0.0,1.009999394416809
The victim was attacked and killed using a knife at a school.,Jodhpur,Station C,school,2024-07-08,14:05:18,Monday,Winter,Victim,Male,18,Male,25,knife,car,1,Neighbor,IPC 302 (Murder),Murder,1.08,0.0,0.0,1.0819514393806458
The accused physically assaulted the victim using a gun at a residential area.,Jaisalmer,Station B,residential area,2024-12-24,16:59:21,Tuesday,Winter,Relative,Male,79,Female,38,gun,scooter,4,Stranger,IPC 323 (Assault),Assault,1.01,0.0,0.0,1.0143404603004456
The accused used a bare hands to fatally wound the victim at their residence.,Bikaner,Station B,school,2025-01-05,21:28:02,Sunday,Spring,Relative,Other,26,Female,60,bare hands,car,1,Stranger,IPC 302 (Murder),Murder,0.99,0.0,0.0,0.9882590174674988
The victim was attacked and killed using a knife at a market.,Kota,Station A,market,2025-05-24,14:47:03,Saturday,Spring,Relative,Male,71,Female,63,knife,bike,3,Neighbor,IPC 302 (Murder),Murder,1.24,0.0,0.0,1.2385053634643555
A theft was reported where items were stolen from a market.,Bhilwara,Station B,market,2024-09-03,09:55:53,Tuesday,Monsoon,Police,Female,41,Other,32,knife,bike,1,Stranger,IPC 379 (Theft),Theft,1.36,0.0,0.0,1.3614492416381836
The accused physically assaulted the victim using a stick at a school.,Sawai Madhopur,Station C,school,2025-02-15,20:01:44,Saturday,Spring,Police,Other,34,Female,44,stick,scooter,2,Neighbor,IPC 323 (Assault),Assault,0.71,0.0,0.0,0.7075212299823761
Robbers stormed a house and made away with cash and gold.,Jaisalmer,Station A,bus stop,2025-02-18,22:01:06,Tuesday,Monsoon,Victim,Female,36,Other,57,knife,auto,5,Acquaintance,IPC 392 (Robbery),Robbery,1.0,0.0,0.0,1.004294514656067
"A heated argument turned violent at the market, injuring one person.",Rajsamand,Station C,market,2024-08-13,11:46:35,Tuesday,Spring,Police,Other,74,Female,46,stick,auto,4,Stranger,IPC 323 (Assault),Assault,0.64,0.0,0.0,0.63853320479393
A theft was reported where items were stolen from a residential area.,Banswara,Station A,residential area,2024-12-19,05:16:21,Thursday,Spring,Relative,Other,79,Female,52,stick,bike,1,Neighbor,IPC 379 (Theft),Theft,1.42,0.0,0.0,1.420541524887085
The accused forcefully snatched the victim's belongings and fled on a car.,Sri Ganganagar,Station A,residential area,2025-05-23,19:43:39,Friday,Spring,Relative,Female,25,Female,32,bare hands,car,1,Relative,IPC 392 (Robbery),Robbery,0.78,0.0,0.0,0.7772024273872375
Eyewitnesses reported a fatal altercation involving a stick near the bus stop.,Pali,Station B,bus stop,2025-01-25,10:35:24,Saturday,Spring,Victim,Male,45,Male,56,stick,car,2,Acquaintance,IPC 302 (Murder),Murder,0.85,0.0,0.0,0.8508493602275848
"An armed robbery took place at a bus stop, threatening the occupants.",Dausa,Station A,bus stop,2025-05-08,20:45:18,Thursday,Winter,Victim,Other,10,Female,30,stick,car,4,Neighbor,IPC 392 (Robbery),Robbery,1.25,0.0,0.0,1.2470667958259583
A local resident was found murdered in a residential area under mysterious circumstances.,Udaipur,Station B,residential area,2024-08-24,06:17:33,Saturday,Summer,Relative,Other,55,Male,54,knife,auto,1,Stranger,IPC 302 (Murder),Murder,1.1,0.0,0.0,1.1024294793605804
The victim was robbed at gunpoint while returning home from work.,Bikaner,Station A,market,2025-03-19,13:33:23,Wednesday,Monsoon,Police,Other,67,Male,57,gun,car,4,Relative,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
An incident of rape was reported where the accused lured the victim to a residential area.,Alwar,Station A,residential area,2024-11-12,21:36:24,Tuesday,Winter,Relative,Male,60,Other,38,gun,auto,4,Neighbor,IPC 376 (Rape),Rape,1.26,0.0,0.0,1.255059152841568
An incident of rape was reported where the accused lured the victim to a school.,Sawai Madhopur,Station B,school,2025-05-04,13:36:19,Sunday,Winter,Eyewitness,Other,74,Male,55,stick,auto,5,Friend,IPC 376 (Rape),Rape,1.09,0.0,0.0,1.0923691391944885
"A violent brawl broke out at a bus stop, leading to serious injuries.",Jhunjhunu,Station C,bus stop,2025-01-13,14:05:20,Monday,Monsoon,Police,Other,59,Male,45,stick,scooter,1,Neighbor,IPC 323 (Assault),Assault,0.81,0.0,0.0,0.808120608329773
An incident of rape was reported where the accused lured the victim to a residential area.,Pali,Station B,residential area,2025-02-18,09:58:16,Tuesday,Spring,Victim,Other,16,Female,18,stick,auto,5,Neighbor,IPC 376 (Rape),Rape,1.26,0.0,0.0,1.255059152841568
"A violent brawl broke out at a residential area, leading to serious injuries.",Bikaner,Station A,residential area,2024-06-03,23:50:43,Monday,Monsoon,Eyewitness,Male,62,Male,65,stick,scooter,5,Stranger,IPC 323 (Assault),Assault,1.02,0.0,0.0,1.0218038856983185
A theft was reported where items were stolen from a market.,Barmer,Station A,market,2025-05-26,00:37:50,Monday,Winter,Relative,Other,14,Other,35,gun,car,1,Acquaintance,IPC 379 (Theft),Theft,1.36,0.0,0.0,1.3614492416381836
The accused physically assaulted the victim using a knife at a school.,Dholpur,Station C,school,2024-10-26,18:43:55,Saturday,Monsoon,Eyewitness,Male,37,Male,27,knife,car,2,Relative,IPC 323 (Assault),Assault,0.79,0.0,0.0,0.7852805256843567
Eyewitnesses reported a fatal altercation involving a knife near the market.,Balotra,Station A,market,2024-06-05,13:34:18,Wednesday,Summer,Relative,Other,35,Male,37,knife,auto,1,Stranger,IPC 302 (Murder),Murder,1.05,0.0,0.0,1.045005351305008
"A violent brawl broke out at a highway, leading to serious injuries.",Barmer,Station B,highway,2024-06-25,15:35:26,Tuesday,Spring,Eyewitness,Female,27,Other,49,bare hands,scooter,3,Neighbor,IPC 323 (Assault),Assault,0.89,0.0,0.0,0.8907482028007507
Pickpocketing occurred in a crowded market.,Churu,Station C,market,2025-03-16,05:57:08,Sunday,Winter,Relative,Female,46,Female,62,bare hands,bike,2,Neighbor,IPC 379 (Theft),Theft,0.77,0.0,0.0,0.7711847126483917
Eyewitnesses reported a fatal altercation involving a stick near the highway.,Jaipur,Station C,highway,2025-02-03,02:13:59,Monday,Summer,Eyewitness,Male,77,Other,63,stick,scooter,4,Acquaintance,IPC 302 (Murder),Murder,0.9,0.0,0.0,0.9016122221946716
The victim was robbed at gunpoint while returning home from work.,Barmer,Station B,school,2024-09-13,18:11:18,Friday,Summer,Eyewitness,Other,12,Other,61,knife,scooter,5,Acquaintance,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
Unknown suspects broke into a highway and stole valuables.,Didwana-Kuchaman,Station C,highway,2024-05-30,15:14:41,Thursday,Spring,Victim,Other,23,Other,15,bare hands,auto,2,Relative,IPC 379 (Theft),Theft,0.87,0.0,0.0,0.8696705102920532
The victim was abducted and raped in a moving vehicle by unknown individuals.,Bundi,Station C,bus stop,2024-08-25,08:23:50,Sunday,Winter,Eyewitness,Female,76,Female,30,bare hands,auto,3,Friend,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
"An armed robbery took place at a bus stop, threatening the occupants.",Jodhpur,Station C,bus stop,2024-11-10,05:43:56,Sunday,Winter,Relative,Male,68,Female,35,bare hands,auto,3,Neighbor,IPC 392 (Robbery),Robbery,1.25,0.0,0.0,1.2470667958259583
The accused physically assaulted the victim using a gun at a highway.,Kotputli-Behror,Station A,highway,2024-11-03,03:15:37,Sunday,Monsoon,Relative,Female,13,Other,31,gun,car,2,Relative,IPC 323 (Assault),Assault,0.91,0.0,0.0,0.9104351699352264
The accused forcibly entered the victim’s home and committed the crime.,Hanumangarh,Station C,residential area,2025-03-31,13:01:16,Monday,Spring,Victim,Female,36,Other,30,stick,auto,4,Stranger,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
The victim was abducted and raped in a moving vehicle by unknown individuals.,Pali,Station A,bus stop,2024-09-13,06:40:39,Friday,Spring,Eyewitness,Other,54,Male,35,stick,car,4,Stranger,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
The victim was attacked and killed using a bare hands at a bus stop.,Nagaur,Station A,bus stop,2025-02-01,16:50:14,Saturday,Monsoon,Police,Male,22,Male,21,bare hands,scooter,4,Stranger,IPC 302 (Murder),Murder,1.12,0.0,0.0,1.1239883601665497
"An armed robbery took place at a market, threatening the occupants.",Pratapgarh,Station A,market,2024-09-09,01:51:15,Monday,Winter,Police,Male,61,Other,56,stick,scooter,2,Friend,IPC 392 (Robbery),Robbery,1.48,0.0,0.0,1.4840591847896576
The victim was attacked from behind with a bare hands at a school.,Karauli,Station C,school,2024-06-26,22:11:55,Wednesday,Monsoon,Eyewitness,Female,20,Other,25,bare hands,scooter,4,Friend,IPC 323 (Assault),Assault,0.73,0.0,0.0,0.7277315855026245
A theft was reported where items were stolen from a school.,Jalore,Station C,school,2024-06-24,06:05:07,Monday,Spring,Police,Other,74,Female,48,bare hands,bike,3,Acquaintance,IPC 379 (Theft),Theft,1.14,0.0,0.0,1.142613708972931
A rape case was registered involving a Acquaintance in an isolated bus stop.,Baran,Station C,bus stop,2024-10-10,19:30:07,Thursday,Summer,Victim,Other,65,Other,67,knife,car,4,Acquaintance,IPC 376 (Rape),Rape,2.17,0.8,0.0,1.3680892288684845
"An armed robbery took place at a highway, threatening the occupants.",Bharatpur,Station B,highway,2024-08-07,04:54:16,Wednesday,Summer,Police,Female,31,Male,18,stick,car,3,Acquaintance,IPC 392 (Robbery),Robbery,1.25,0.0,0.0,1.248801827430725
A local resident was found murdered in a highway under mysterious circumstances.,Nagaur,Station C,highway,2025-03-05,09:54:46,Wednesday,Monsoon,Police,Male,16,Other,51,knife,auto,4,Acquaintance,IPC 302 (Murder),Murder,0.91,0.0,0.0,0.9085416197776794
The body of the victim was discovered at a market with signs of struggle.,Bikaner,Station A,market,2024-09-05,20:35:43,Thursday,Winter,Victim,Other,42,Male,19,knife,auto,5,Acquaintance,IPC 302 (Murder),Murder,0.87,0.0,0.0,0.8729285001754761
Eyewitnesses reported a fatal altercation involving a gun near the bus stop.,Pali,Station C,bus stop,2024-10-10,13:51:55,Thursday,Summer,Eyewitness,Female,29,Male,42,gun,scooter,2,Acquaintance,IPC 302 (Murder),Murder,0.96,0.0,0.0,0.9630680680274963
"A violent brawl broke out at a highway, leading to serious injuries.",Dausa,Station B,highway,2025-02-22,18:37:25,Saturday,Winter,Victim,Male,36,Other,23,knife,bike,1,Relative,IPC 323 (Assault),Assault,0.89,0.0,0.0,0.8907482028007507
Eyewitnesses reported a fatal altercation involving a knife near the park.,Bhilwara,Station A,park,2025-01-05,05:04:58,Sunday,Spring,Relative,Other,60,Female,46,knife,car,1,Stranger,IPC 302 (Murder),Murder,1.02,0.0,0.0,1.023378163576126
Unknown suspects broke into a residential area and stole valuables.,Chittorgarh,Station B,residential area,2024-06-18,15:00:44,Tuesday,Winter,Police,Female,20,Male,60,bare hands,car,3,Friend,IPC 379 (Theft),Theft,1.14,0.0,0.0,1.1382177472114563
The accused used a gun to fatally wound the victim at their residence.,Kota,Station A,market,2025-05-26,04:39:21,Monday,Spring,Police,Male,68,Male,65,gun,scooter,3,Neighbor,IPC 302 (Murder),Murder,1.08,0.0,0.0,1.083620309829712
Jewelry and cash were stolen from a residential area during daytime.,Khairthal-Tijara,Station C,residential area,2024-12-09,19:32:55,Monday,Summer,Eyewitness,Other,55,Female,17,stick,scooter,2,Friend,IPC 379 (Theft),Theft,1.86,0.8,0.0,1.0628212094306946
The accused physically assaulted the victim using a gun at a highway.,Bharatpur,Station B,highway,2024-11-05,05:04:18,Tuesday,Spring,Victim,Other,53,Female,25,gun,scooter,1,Neighbor,IPC 323 (Assault),Assault,0.91,0.0,0.0,0.9104351699352264
A local resident was found murdered in a bus stop under mysterious circumstances.,Dholpur,Station B,bus stop,2025-02-03,10:41:23,Monday,Winter,Eyewitness,Male,31,Male,31,knife,car,2,Friend,IPC 302 (Murder),Murder,0.96,0.0,0.0,0.9584812223911285
"A heated argument turned violent at the school, injuring one person.",Sawai Madhopur,Station A,school,2025-04-28,00:05:59,Monday,Spring,Relative,Other,36,Male,63,stick,scooter,5,Friend,IPC 323 (Assault),Assault,0.69,0.0,0.0,0.6881597936153412
The accused used a knife to fatally wound the victim at their residence.,Dholpur,Station B,residential area,2024-12-19,18:19:35,Thursday,Summer,Victim,Female,75,Female,38,knife,auto,2,Neighbor,IPC 302 (Murder),Murder,1.03,0.0,0.0,1.030611366033554
The victim’s vehicle was broken into and items were stolen.,Tonk,Station C,market,2025-02-26,08:59:58,Wednesday,Winter,Police,Male,77,Female,66,bare hands,bike,4,Friend,IPC 379 (Theft),Theft,1.15,0.0,0.0,1.1471603214740753
The victim reported being sexually assaulted by a Acquaintance in a market.,Jalore,Station A,market,2024-07-22,19:53:50,Monday,Monsoon,Eyewitness,Female,60,Male,46,bare hands,auto,2,Acquaintance,IPC 376 (Rape),Rape,1.7,0.8,0.0,0.9040310382843018
The accused used a stick to fatally wound the victim at their residence.,Dungarpur,Station B,market,2025-03-31,17:15:33,Monday,Monsoon,Police,Male,34,Female,60,stick,bike,3,Stranger,IPC 302 (Murder),Murder,1.08,0.0,0.0,1.080114483833313
The accused used a bare hands to fatally wound the victim at their residence.,Churu,Station B,highway,2024-11-14,19:47:00,Thursday,Monsoon,Victim,Other,42,Male,42,bare hands,scooter,3,Friend,IPC 302 (Murder),Murder,0.99,0.0,0.0,0.9882590174674988
The accused used a knife to fatally wound the victim at their residence.,Sirohi,Station A,bus stop,2024-09-29,22:52:15,Sunday,Monsoon,Victim,Female,80,Female,18,knife,scooter,2,Stranger,IPC 302 (Murder),Murder,1.03,0.0,0.0,1.030611366033554
The accused physically assaulted the victim using a bare hands at a residential area.,Ajmer,Station C,residential area,2025-04-26,22:54:34,Saturday,Monsoon,Victim,Other,19,Other,62,bare hands,car,2,Acquaintance,IPC 323 (Assault),Assault,0.88,0.0,0.0,0.8818514943122864
The accused physically assaulted the victim using a bare hands at a school.,Alwar,Station C,school,2024-11-05,04:03:11,Tuesday,Winter,Police,Female,53,Male,37,bare hands,scooter,4,Relative,IPC 323 (Assault),Assault,0.69,0.0,0.0,0.6909652501344681
The victim reported being sexually assaulted by a Relative in a bus stop.,Dungarpur,Station C,bus stop,2025-04-16,15:16:12,Wednesday,Spring,Police,Male,48,Other,23,stick,car,1,Relative,IPC 376 (Rape),Rape,0.85,0.0,0.0,0.8499226570129395
The victim was attacked and killed using a knife at a park.,Baran,Station C,park,2025-01-20,12:19:06,Monday,Winter,Eyewitness,Other,38,Female,55,knife,bike,4,Stranger,IPC 302 (Murder),Murder,1.28,0.0,0.0,1.2767185270786285
The accused forcefully snatched the victim's belongings and fled on a auto.,Dungarpur,Station C,park,2024-08-04,07:19:03,Sunday,Summer,Police,Male,27,Other,24,knife,auto,3,Acquaintance,IPC 392 (Robbery),Robbery,0.85,0.0,0.0,0.8491199612617493
The body of the victim was discovered at a park with signs of struggle.,Bharatpur,Station C,park,2024-07-13,11:11:36,Saturday,Summer,Eyewitness,Other,44,Other,25,knife,car,5,Stranger,IPC 302 (Murder),Murder,0.8,0.0,0.0,0.8012655973434448
The victim was robbed at gunpoint while returning home from work.,Ajmer,Station C,school,2024-12-23,05:16:44,Monday,Spring,Eyewitness,Male,64,Other,34,stick,car,3,Neighbor,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
Unknown suspects broke into a park and stole valuables.,Udaipur,Station A,park,2024-06-01,02:40:00,Saturday,Summer,Relative,Male,46,Male,51,stick,car,2,Friend,IPC 379 (Theft),Theft,1.03,0.0,0.0,1.0262937247753143
Unknown suspects broke into a highway and stole valuables.,Bhilwara,Station A,highway,2024-07-31,22:18:52,Wednesday,Monsoon,Relative,Other,48,Female,54,gun,auto,4,Neighbor,IPC 379 (Theft),Theft,0.87,0.0,0.0,0.8696705102920532
A rape case was registered involving a Friend in an isolated bus stop.,Didwana-Kuchaman,Station B,bus stop,2024-06-10,16:32:21,Monday,Winter,Police,Male,22,Male,58,stick,scooter,5,Friend,IPC 376 (Rape),Rape,2.18,0.8,0.0,1.3800539374351501
The victim’s vehicle was broken into and items were stolen.,Phalodi,Station C,market,2025-05-21,15:15:26,Wednesday,Winter,Police,Male,67,Other,47,knife,scooter,5,Neighbor,IPC 379 (Theft),Theft,1.15,0.0,0.0,1.1471603214740753
The body of the victim was discovered at a school with signs of struggle.,Beawar,Station B,school,2024-09-16,05:09:48,Monday,Winter,Eyewitness,Other,52,Other,43,bare hands,car,1,Neighbor,IPC 302 (Murder),Murder,0.64,0.0,0.0,0.635125145316124
